run_id,stage,method,state_stratum,action,seed,status,config,notes
D1-S17,D1,signal_calibration,all,none,17,planned,configs/d1_calibration.yaml,threshold freeze
D2-S17,D2,paired_continuation,DI_high_s2_high,paired,17,blocked_by_D1,configs/d2_mechanism_gate.yaml,hard mechanism gate
D0-DL-LOW-R-S17,D0,factorial,DL_high_s2_low,repair,17,blocked_by_D2,configs/d0_factorial.yaml,strict budget pair
D0-DL-LOW-I-S17,D0,factorial,DL_high_s2_low,intervene,17,blocked_by_D2,configs/d0_factorial.yaml,strict budget pair
D0-DL-HIGH-R-S17,D0,factorial,DL_high_s2_high,repair,17,blocked_by_D2,configs/d0_factorial.yaml,diagnostic cell
D0-DL-HIGH-I-S17,D0,factorial,DL_high_s2_high,intervene,17,blocked_by_D2,configs/d0_factorial.yaml,diagnostic cell
D0-DI-LOW-R-S17,D0,factorial,DI_high_s2_low,repair,17,blocked_by_D2,configs/d0_factorial.yaml,off-support absorbability test
D0-DI-LOW-I-S17,D0,factorial,DI_high_s2_low,intervene,17,blocked_by_D2,configs/d0_factorial.yaml,off-support action control
D0-DI-HIGH-R-S17,D0,factorial,DI_high_s2_high,repair,17,blocked_by_D2,configs/d0_factorial.yaml,cosmetic correction cell
D0-DI-HIGH-I-S17,D0,factorial,DI_high_s2_high,intervene,17,blocked_by_D2,configs/d0_factorial.yaml,state-change cell
D3-S17,D3,detached_control,routed_intervention,detached,17,blocked_by_D0,configs/d3_detached.yaml,target-vs-context control
